53,juan,5.3
48,a,6.7
80,a,9.9
33,a,5.0
81,a,4.5
46,a,4.0
78,a,5.8
38,a,4.5
2,a,7.9
41,a,5.5
50,a,6.0
88,a,6.300000000000001
88,a,7.0
9,a,4.5
44,a,4.5
24,a,5.8
52,a,7.0
46,a,7.8
17,a,6.3
46,a,7.8
31,a,6.3
45,a,5.8
71,a,5.8
40,a,5.8
85,a,8.8
47,a,5.0
31,a,5.8
70,a,5.0
90,a,7.5
39,a,5.3
32,a,5.8
89,a,5.3
78,a,7.5
4,a,6.5
12,a,7.3
22,a,5.5
53,a,5.3
15,a,5.0
57,a,5.0
46,a,6.0
1,a,8.3
66,a,7.8
61,a,4.5
35,a,7.8
58,a,8.8
54,a,5.5
52,a,6.9
44,a,3.5
51,a,7.0
49,a,6.0
29,a,5.3
33,a,7.3
49,a,5.8
19,a,7.9
45,a,6.5
47,a,6.8
38,a,8.3
50,a,6.0
50,a,6.8
1,a,6.3
80,a,4.0
27,a,7.3
24,a,5.5
31,a,7.5
13,a,5.0
36,a,4.5
10,a,5.0
30,a,4.5
14,a,3.5
30,a,5.0
29,a,4.0
2,a,5.5
87,a,4.5
15,a,6.5
35,a,7.5
72,a,5.0
68,a,5.0
59,a,7.0
62,a,5.8
31,a,5.8
36,a,6.0
33,a,7.0
7,a,3.5
9,a,4.0
27,a,5.0
12,a,7.8
75,a,5.3
64,a,4.0
3,a,5.5
18,a,8.0
